Article_Author,Article_Link,Article_Origin_Link,Article_Summary,Article_Tag,Article_Time,Article_Title
译者：知道创宇404实验室翻译组,https://paper.seebug.org/1425/,原文链接：https://unit42.paloaltonetworks.com/njrat-pastebin-command-and-control/,...,威胁情报,2020年12月11日,黑客组织利用 njRAT 以 Pastebin 为切入点进行恶意软件攻击
作者：青藤实验室,https://paper.seebug.org/1424/,原文链接：https://mp.weixin.qq.com/s/FfHc8TFUs_4H8JHWbYv3FQ,得益于 @pwntester 和 @Oleksandr 在 bla...,漏洞分析,2020年12月10日,SharePoint Rce 系列分析（一）
译者：知道创宇404实验室翻译组,https://paper.seebug.org/1423/,原文链接：https://www.proofpoint.com/us/blog/threat-insight/commodity-net-packers-use...,,威胁情报,2020年12月09日,用于分发恶意软件的 .NET 打包器使用嵌入式图像来隐藏有效负载
作者： 深信服千里目安全实验室,https://paper.seebug.org/1422/,原文链接：https://mp.weixin.qq.com/s/gfCtSJoefYLjJpaksbKLrQ,Spring发展到现在，...,漏洞分析,2020年12月08日,Spring 全家桶各类 RCE 漏洞浅析
译者：知道创宇404翻译组,https://paper.seebug.org/1421/,原文链接：https://blog.sonatype.com/bladabindi-njrat-rat-in-jdb.js-npm-malware,在感恩节周末，我们...,威胁情报,2020年12月07日,新的 npm 恶意软件带有 Bladabindi 木马
作者： Alpha@天融信阿尔法实验室,https://paper.seebug.org/1420/,原文链接：https://mp.weixin.qq.com/s/tAPCzt6Saq5q7W0P7kBdJg,Java反序列化漏洞一直都是Java ...,经验心得,2020年12月07日,Java 反序列化过程中 RMI JRMP 以及 JNDI 多种利用方式详解
作者：深信服千里目实验室,https://paper.seebug.org/1419/,原文链接：https://mp.weixin.qq.com/s/9IWS0VX90CUJzhh8i0myAw,ThinkCMF是一款基于...,漏洞分析,2020年12月03日,ThinkCMF 高危漏洞分析与利用
作者：深信服千里目实验室,https://paper.seebug.org/1417/,原文链接：https://mp.weixin.qq.com/s/WtT0o2ygGGQek3wvIulfiQ,XStream是Java类库，用来将对象序...,漏洞分析,2020年12月02日,XStream 组件高危漏洞分析与利用
译者：知道创宇404实验室翻译组,https://paper.seebug.org/1414/,原文链接：https://www.ptsecurity.com/ww-en/analytics/pt-esc-threat-intelligence/incid...,,威胁情报,2020年12月01日,安全人员对 APT 黑客攻击的调查
作者：知道创宇404实验室,https://paper.seebug.org/1416/,,“404星链计划”是知道创宇404实验室于2020年8月开始的计划，旨在通过开源或者开放的方式，长期维护并推进涉及安全研究各个领域...,安全工具&安全开发,2020年11月30日,404 StarLink Project - 404 星链计划四期
作者：HuanGMz@知道创宇404实验室,https://paper.seebug.org/1418/,,TypeConfuseDelegate 工具链 利用了SortedS...,404专栏,2020年11月30日,.Net 反序列化原理学习
本文为作者投稿，Seebug Paper 期待你的分享，凡经采用即有礼品相送！,https://paper.seebug.org/1415/,,最近做银行系统比较多，遇到了很多前端校验导...,经验心得,2020年11月30日,前端 js 校验机制绕过（burp、sqlmap 可用）
作者：m0ngo0se@知道创宇404实验室,https://paper.seebug.org/1413/,,shellcode由于可以随意地进行变化和还原，杀软的查杀难度较大。因此将木马shellcode化，再进行s...,404专栏,2020年11月30日,如何实现一款 shellcodeLoader
作者：Lucifaer,https://paper.seebug.org/1411/,原文链接：https://lucifaer.com/2020/11/25/WebLogic one GET request RCE分析（CVE-2020-14882+CV...,,漏洞分析,2020年11月27日,WebLogic one GET request RCE 分析（CVE-2020-14882+CVE-2020-14883）
作者：phith0n,https://paper.seebug.org/1412/,原文链接：https://mp.weixin.qq.com/s/0HSAPYY2PjbwEN3MhI4SkA,经历了近半年的alpha版本测试后，PHP在2020年11...,经验心得,2020年11月27日,有安全研究者混入了 PHP 8.0 开发组！
译者：知道创宇404实验室翻译组,https://paper.seebug.org/1410/,原文链接：https://www.intezer.com/blog/research/stantinkos-proxy-after-your-apache-se...,,威胁情报,2020年11月27日,Apache 服务器背后的 Stantinko 代理
